"lat","lon","rssi_1_1","rssi_1_2","rssi_1_3","rssi_2_1","rssi_2_2","rssi_2_3","rssi_3_1","rssi_3_2","rssi_3_3","delay_1","delay_2","delay_3","pontoId"
-8.04924,-34.94572,-97.2157142857143,-85.7728571428571,-92.9,-68.08,-85.0275,-85.6057142857143,-90.4616666666667,-93.536,-96.3575,4,2,6,8991
-8.05419,-34.9572,-89.9357142857143,-99.4185714285714,-90.2728571428571,-108.64,-101.565,-95.78,-66.046,-88.874,-91.58,6,6,1,7577
-8.04856,-34.95112,-81.6914285714286,-91.0257142857143,-76.7,-82.32,-93.9325,-92.4,-89.9866666666667,-98.012,-98.7325,2,4,5,9170
-8.05545,-34.95555,-95.2542857142857,-97.3871428571429,-94.6375,-97.41,-89.4,-92.62,-66.31,-57.25,-88.64,6,5,1,7182
-8.04952,-34.94744,-96.58,-87.7728571428571,-96.3571428571429,-79.71,-92.7425,-97.0571428571428,-91.1766666666667,-96.186,-98.9125,4,2,6,8926
-8.05059,-34.95319,-93.02,-95.3314285714286,-92.27,-92.58,-95.5575,-93.7128571428571,-90.68,-96.342,-98.2875,3,4,3,8650
-8.04846,-34.94698,-102.25,-88.7947619047619,-97.515,-82.75,-98.645,-97.4830357142857,-96.5633333333333,-101.648,-96.56,3,2,6,9239
-8.05476,-34.95777,-96.21,-99.5742857142857,-89.3714285714286,-96.8458333333333,-100.225,-87.7857142857143,-65.4133333333333,-88.874,-66.21,6,6,0,7423
-8.04647,-34.94521,-89.2671428571429,-86.4,-92.2535714285714,-91.5038095238095,-90.9375,-67.83,-87.0581666666667,-77.8885,-96.92,4,3,7,9602
-8.05286,-34.9465,-92.1857142857143,-90.0457142857143,-90.0728571428571,-57.17,-78.995,-79.6628571428571,-90.685,-88.09,-97.255,5,1,5,7827
-8.05428,-34.95765,-91.2928571428571,-99.5742857142857,-90.2728571428571,-103.1225,-101.565,-95.2242857142857,-63.55,-88.874,-69.52,6,6,1,7555
